rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,orientation,x,y,z,w,orientation_covariance,angular_velocity,x,y,z,angular_velocity_covariance,linear_acceleration,x,y,z,linear_acceleration_covariance
11000000,,0,,0,10000000,"""WheelL""",,9.0182091166e-06,-9.84648574731e-05,-2.37949209578e-06,1.00000184658,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]",,-0.000711938267897,-0.0586895096429,-0.00132395742988,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]",,1.97900957852,-0.0119133147799,2.01391360438,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]"
21000000,,1,,0,20000000,"""WheelL""",,-0.000316871028837,-0.000269719721915,-0.000195471577725,0.999999038585,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]",,-0.0723352423956,-0.0196324885534,-0.0418554730136,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]",,-0.0785456466504,2.37938696352,12.9717046142,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]"
31000000,,2,,0,30000000,"""WheelL""",,-0.00035375143432,-0.000245361535041,-0.000204183001375,0.999998970089,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]",,0.0279705842498,-0.00410667728785,0.0161424550571,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]",,-1.81927704758,-3.21465154814,13.6742465843,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]"
41000000,,3,,0,40000000,"""WheelL""",,-0.000231523111351,-0.000247229369425,-0.000142035679041,0.999999977677,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]",,0.0135221111644,-0.00101274989636,0.00593956069436,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]",,0.116967226889,0.570752568131,10.4874726684,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]"
51000000,,4,,0,50000000,"""WheelL""",,-0.000262238929465,-0.000220300983451,-0.000155977977393,0.999999128848,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]",,-0.0269785948218,-0.0037161309599,-0.00915965166675,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]",,0.248282146709,0.835668019291,7.91789618176,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]"
61000000,,5,,0,60000000,"""WheelL""",,-0.000309994399652,-0.000175162630419,-0.000156980673847,0.999999252991,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]",,0.00822164009787,0.00263429210148,0.00673094134509,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]",,-0.157409133076,-0.861713622739,11.2206744616,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]"
70000000,,6,,0,70000000,"""WheelL""",,-0.000310844761522,-0.000162884616406,-0.000155427583199,1.00000069055,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]",,-0.00418624950033,0.0036054857685,-0.00201420100948,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]",,0.035907396334,0.358794810671,9.62284361927,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]"
81000000,,7,,0,80000000,"""WheelL""",,-0.000304415939305,-7.69853152659e-05,-0.000151603793181,1.00000111194,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]",,-0.00235938992649,0.0099808409851,-0.00126883731195,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]",,0.195285693995,-0.0604916241034,9.88611678129,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]"
91000000,,8,,0,90000000,"""WheelL""",,-0.000307676773859,1.98557639126e-05,-0.000157733221682,0.999999110836,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]",,-0.00924170547874,-0.00341873698855,-0.00462099342916,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]",,0.376892231275,-0.0305105837911,9.4266613223,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]"
100000000,,9,,0,100000000,"""WheelL""",,-0.000308056158811,0.000122686084173,-0.000171001679332,1.0000003645,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]",,-0.00127241124458,0.0170834618672,-0.00460588186001,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]",,-0.16239071002,-0.0196084841191,10.1517393829,"[1e-12, 0.0, 0.0, 0.0, 1e-12, 0.0, 0.0, 0.0, 1e-12]"
