rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,wrench,force,x,y,z,torque,x,y,z
5000000,,0,,0,5000000,"""Left-Wheel""",,,-7.77158711225e-05,-0.000190341693037,1.52864872069e-05,,0.000121008338348,-3.12823376797e-05,6.52295157849e-05
10000000,,1,,0,10000000,"""Left-Wheel""",,,-28.334000996,-0.927952068467,-27.759361151,,-0.138554008421,0.00279265982397,0.0411022471854
16000000,,2,,0,15000000,"""Left-Wheel""",,,0.342279426,2.04947448995,-10.2969754618,,1.02673140244,0.00275897242385,0.106648103447
20000000,,3,,0,20000000,"""Left-Wheel""",,,-9.9378296281,-6.2411022092,-54.1477588224,,-0.789921142765,0.0025515292385,-0.0661506694602
25000000,,4,,0,25000000,"""Left-Wheel""",,,26.4075879943,-162.900502404,285.709370213,,-54.057060918,-0.0212493515033,2.30696084858
30000000,,5,,0,30000000,"""Left-Wheel""",,,2.48862807244,-229.879708555,193.022354991,,-75.0158243745,0.00547036711972,3.03776646204
35000000,,6,,0,35000000,"""Left-Wheel""",,,4.898898223,-5.3855588356,-23.506470667,,0.900180476046,0.00805497933384,0.327795302397
39000000,,7,,0,40000000,"""Left-Wheel""",,,-3.47520828112,-6.95368484838,-41.5404550068,,-0.017795869459,0.0225137476298,0.193795758678
45000000,,8,,0,45000000,"""Left-Wheel""",,,4.88484900559,-2.52891048119,-20.1263098457,,0.968595245953,0.0260502369698,0.26369329559
50000000,,9,,0,50000000,"""Left-Wheel""",,,5.13054451684,-0.916819251924,-19.7319109705,,1.11662615252,0.034527018868,0.239673114045
54000000,,10,,0,55000000,"""Left-Wheel""",,,28.6537509566,-319.337518601,482.717773367,,-105.43255577,0.0515968354038,4.26832970661
60000000,,11,,0,60000000,"""Left-Wheel""",,,-7.61734762185,-2.9297552394,-45.9332630624,,0.286047865417,0.0636490503756,0.0943494429952
65000000,,12,,0,65000000,"""Left-Wheel""",,,-6.35014477115,-6.761464201,-45.5482488213,,-0.310109137583,0.0708863599309,0.119283552736
70000000,,13,,0,70000000,"""Left-Wheel""",,,-0.872019762723,-17.6882346236,88.3741462227,,-7.52869598786,0.0774959878221,0.160097004878
75000000,,14,,0,75000000,"""Left-Wheel""",,,2.54619816536,-12.2449887038,73.8787670038,,-4.08829089857,0.0838442986097,0.151767773732
80000000,,15,,0,80000000,"""Left-Wheel""",,,18.9772801725,13.0246686975,140.376244473,,3.93504624423,0.0845196987661,-0.0293831743024
85000000,,16,,0,85000000,"""Left-Wheel""",,,5.59973670601,-31.0832035866,135.732508309,,-11.0242482224,0.0947520033612,0.341222241565
90000000,,17,,0,90000000,"""Left-Wheel""",,,-0.408247494729,3.04619856139,-17.4656860724,,1.72088984808,0.0989080582721,0.213602064141
95000000,,18,,0,95000000,"""Left-Wheel""",,,-9.00311478221,63.0326542925,79.7931677002,,17.876403453,0.107874070702,-1.01798021538
100000000,,19,,0,100000000,"""Left-Wheel""",,,17.6855227477,82.1996642326,132.239043712,,24.9633934552,0.111071128622,-1.04123004367
105000000,,20,,0,105000000,"""Left-Wheel""",,,-4.77469017366,35.5770525473,83.1952295567,,9.73062421236,0.115433579009,-0.608630406601
