rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,wrench,force,x,y,z,torque,x,y,z
8000000,,0,,0,5000000,"""Right-Wheel""",,,0.000165056852353,-2.37306724193e-05,-5.91558911291e-05,,-0.000134369323281,7.27734473761e-05,-1.45733801663e-06
10000000,,1,,0,10000000,"""Right-Wheel""",,,-24.9467739815,-0.973851768844,-25.0835348391,,-0.149672018953,0.00261801444244,0.0406684237047
15000000,,2,,0,15000000,"""Right-Wheel""",,,12.7911617221,36.9904378106,280.08623296,,13.8558268472,0.00268005190385,-0.150631004551
20000000,,3,,0,20000000,"""Right-Wheel""",,,13.3377608036,-17.9004214372,290.940957758,,-4.95359533413,0.00242104913305,0.0151458324668
25000000,,4,,0,25000000,"""Right-Wheel""",,,15.9438032162,-19.6887128297,221.071921901,,-4.837398145,0.00267861500671,-0.0250500329329
30000000,,5,,0,30000000,"""Right-Wheel""",,,5.15650285262,-28.3619740853,259.094738705,,-6.32469828831,-0.00675423343594,-0.00866017211956
35000000,,6,,0,35000000,"""Right-Wheel""",,,2.66019115203,-20.51134112,288.25652925,,-3.55843331782,0.0115684329843,0.0121592583269
40000000,,7,,0,40000000,"""Right-Wheel""",,,2.16237344128,-27.6881458661,272.494912808,,-5.90604315832,0.0244230417128,-0.00527598103143
45000000,,8,,0,45000000,"""Right-Wheel""",,,19.346634808,31.556068331,306.079991059,,13.3452361116,0.0584391045295,-0.103400060668
50000000,,9,,0,50000000,"""Right-Wheel""",,,-18.715723996,-23.9988465096,195.02672388,,-5.22603793325,0.0740534425581,0.0724766315551
55000000,,10,,0,55000000,"""Right-Wheel""",,,11.5024731386,43.264646286,301.005383623,,15.4608587084,0.0941428712082,-0.138253801563
60000000,,11,,0,60000000,"""Right-Wheel""",,,-9.57017185028,-17.2665173235,310.639136941,,-2.49955013035,0.107866121884,0.054221379728
65000000,,12,,0,65000000,"""Right-Wheel""",,,-6.80600203128,-30.085112645,265.728324905,,-6.77682614123,0.132286265467,0.041215483419
70000000,,13,,0,70000000,"""Right-Wheel""",,,-0.468705712332,-24.770814828,280.967348204,,-4.8427428562,0.142443411022,-0.0103909794922
75000000,,14,,0,75000000,"""Right-Wheel""",,,15.0040683943,42.6834963861,316.713538872,,15.5950055361,0.146216092783,-0.15377785722
80000000,,15,,0,80000000,"""Right-Wheel""",,,-2.14154225616,-28.25133047,269.645934676,,-4.73701951489,0.153771056344,0.0011853582025
85000000,,16,,0,85000000,"""Right-Wheel""",,,12.8457108994,23.383199015,243.876607979,,10.4324511896,0.160286733212,-0.00297887193084
90000000,,17,,0,90000000,"""Right-Wheel""",,,-7.33390866063,-31.8851064298,268.883385884,,-7.00951634054,0.174726478696,0.0316992970883
95000000,,18,,0,95000000,"""Right-Wheel""",,,8.41021920112,40.5952994902,270.2183958,,14.3912409013,0.177662481597,-0.0944143993215
100000000,,19,,0,100000000,"""Right-Wheel""",,,-3.48490360537,-29.7431193992,265.669944423,,-5.37742233602,0.17938788913,0.0212373094017
104000000,,20,,0,105000000,"""Right-Wheel""",,,13.6722187723,13.3424723614,244.647620485,,7.2865405744,0.179977302289,0.0154862137401
110000000,,21,,0,110000000,"""Right-Wheel""",,,-7.211628556,-32.2052965704,269.676921079,,-7.06365497848,0.179726136254,0.0489731617522
115000000,,22,,0,115000000,"""Right-Wheel""",,,9.51536644071,41.2964620358,280.269979734,,14.7425039682,0.176829809635,-0.0988388949689
