rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,wrench,force,x,y,z,torque,x,y,z
9000000,,0,,0,5000000,"""Right-Wheel""",,,2.58121749519e-05,1.37093259445e-05,-1.78669216743e-05,,-8.59436393465e-06,-4.5194826343e-05,7.80518875325e-05
10000000,,1,,0,10000000,"""Right-Wheel""",,,-27.672236587,-1.24459898734,-24.7676438692,,-0.168925695549,0.0027029223461,0.0291919337311
15000000,,2,,0,15000000,"""Right-Wheel""",,,-19.2254850498,-67.1464259175,185.629724658,,-19.8568648731,0.00189626570898,0.347677823546
20000000,,3,,0,20000000,"""Right-Wheel""",,,-4.84924613116,41.9158176673,384.205115095,,17.9867563123,0.0032374651645,-0.0506888859236
25000000,,4,,0,25000000,"""Right-Wheel""",,,2.22354758697,9.85999599509,-23.0995399086,,-0.290747317569,0.00296121210396,-0.342498195578
30000000,,5,,0,30000000,"""Right-Wheel""",,,3.13363060933,10.099420014,-26.6605140984,,-0.500347768837,0.0027368034873,-0.376540866481
35000000,,6,,0,35000000,"""Right-Wheel""",,,-0.14820134131,24.2889843566,302.348702352,,10.7795258361,-0.00253918397766,-0.130308608375
40000000,,7,,0,40000000,"""Right-Wheel""",,,2.3132193253,75.0949786024,396.992950997,,28.4940298194,-0.00254755764557,-0.287653137912
45000000,,8,,0,45000000,"""Right-Wheel""",,,19.3013624849,110.947953876,358.737314568,,38.6097352183,0.272323948197,-0.347429252575
50000000,,9,,0,50000000,"""Right-Wheel""",,,-22.176458593,-153.521959971,19.2918320611,,-51.3776284673,0.264106222566,0.233080016887
55000000,,10,,0,55000000,"""Right-Wheel""",,,1.62516398761,-9.85816952997,398.582313915,,2.09214003605,0.237801198948,0.0327256172792
60000000,,11,,0,60000000,"""Right-Wheel""",,,18.8950477522,-2.87911059649,276.595617722,,2.47696372899,0.225333855435,0.0080956432301
65000000,,12,,0,65000000,"""Right-Wheel""",,,-5.97204506425,-27.7568971362,325.281931915,,-5.3800258367,0.213153945126,0.0529623136166
70000000,,13,,0,70000000,"""Right-Wheel""",,,-2.40111474741,-42.880758117,291.17239236,,-10.4182943632,0.201816789921,0.0537208055408
75000000,,14,,0,75000000,"""Right-Wheel""",,,-3.06542385747,-41.2294737319,302.808315499,,-9.72499372431,0.180903011459,0.0557925205552
80000000,,15,,0,80000000,"""Right-Wheel""",,,-4.19207267898,-43.5932198183,304.22355255,,-10.4747066905,0.171740527653,0.0613382554055
85000000,,16,,0,85000000,"""Right-Wheel""",,,-4.11858368559,-54.2753417027,281.257841555,,-14.4926264232,0.163698948051,0.0374981487766
90000000,,17,,0,90000000,"""Right-Wheel""",,,-3.22643788995,-30.8719494049,328.063911387,,-6.191231274,0.156117306177,-0.0119174178039
95000000,,18,,0,95000000,"""Right-Wheel""",,,-3.9323164244,-47.5891364374,304.773073597,,-11.8527414577,0.149745958071,0.0446156596568
100000000,,19,,0,100000000,"""Right-Wheel""",,,-3.21915886157,-42.459912098,312.449074903,,-10.0982441769,0.143950420047,0.0145840328191
105000000,,20,,0,105000000,"""Right-Wheel""",,,-3.17664511213,-46.0772695053,307.005815139,,-11.3032042043,0.135733186581,0.0476708503862
110000000,,21,,0,110000000,"""Right-Wheel""",,,-2.91333910341,-43.4228425654,304.919370797,,-10.5669276535,0.132756797003,0.0325624980414
115000000,,22,,0,115000000,"""Right-Wheel""",,,-2.29226992963,-53.7662005196,308.564431057,,-13.5480082869,0.130505596823,0.0918555696419
120000000,,23,,0,120000000,"""Right-Wheel""",,,-3.83869885,-34.8599711126,316.049090398,,-7.54679168475,0.129226103484,0.0472989292423
125000000,,24,,0,125000000,"""Right-Wheel""",,,-4.62162189856,-41.1181287524,299.840892571,,-9.75643649083,0.128423466362,0.06190071718
130000000,,25,,0,130000000,"""Right-Wheel""",,,-4.48002564133,-39.3368716007,305.646652047,,-9.08760517118,0.128880197247,0.0647767288624
135000000,,26,,0,135000000,"""Right-Wheel""",,,-4.68539189636,-40.0280751612,304.185521959,,-9.32242470917,0.129490735877,0.0703752831008
140000000,,27,,0,140000000,"""Right-Wheel""",,,-4.78616711484,-39.8206425628,304.705424655,,-9.24109399876,0.130566705841,0.0745476591249
145000000,,28,,0,145000000,"""Right-Wheel""",,,20.4794469183,14.3410020269,314.622619212,,8.62100717015,0.132385882894,-0.00562766088558
150000000,,29,,0,150000000,"""Right-Wheel""",,,-6.16115308791,-29.8922120769,311.063665433,,-6.25961536595,0.134191965736,0.0915587431035
155000000,,30,,0,155000000,"""Right-Wheel""",,,-2.21095282857,-37.389651009,291.584266826,,-8.59835592133,0.137857248719,0.0801797446848
160000000,,31,,0,160000000,"""Right-Wheel""",,,20.4235462669,13.7910924525,309.239882979,,8.36078204587,0.139711825741,-0.00479715520758
165000000,,32,,0,165000000,"""Right-Wheel""",,,-5.59422878274,-26.1704357704,309.866739831,,-5.08757350179,0.141141007242,0.0941142615761
170000000,,33,,0,170000000,"""Right-Wheel""",,,-2.9863483541,-33.1891152179,293.569175408,,-7.26677728864,0.14302591756,0.0805931666662
175000000,,34,,0,175000000,"""Right-Wheel""",,,20.3782345545,20.3420810499,312.428403998,,10.4446633668,0.145678935623,-0.0194804229657
180000000,,35,,0,180000000,"""Right-Wheel""",,,-6.91060700181,-20.3836337919,313.327713488,,-3.27742899097,0.146540997618,0.0902929653212
185000000,,36,,0,185000000,"""Right-Wheel""",,,-3.68890831176,-26.2454942718,294.551770995,,-5.10390762841,0.147336104037,0.0681848740486
190000000,,37,,0,190000000,"""Right-Wheel""",,,20.27353842,28.420925415,312.072822727,,12.9283614371,0.147776300898,-0.0462174393748
