Torque_L,Torque_R,Chair_LinVel,Chair_AngVel
0.038963575271365,-0.30108551810653,0,0
0.0286395240649073,-0.287896814105139,-0.000263937430065353,-0.000230330220979749
0.0184880131301955,-0.274572028758485,-0.000527303902135168,-0.000442934844543782
0.00853672299161237,-0.261247292320051,-0.000790108201394825,-0.000639696394846291
-0.00118843847285519,-0.248056449976068,-0.00105225166986769,-0.000819081033037448
-0.0106632540323843,-0.235128657158478,-0.00131378470826998,-0.000983089065780365
-0.019865041121769,-0.222586093013663,-0.00157464628776047,-0.00113050893208536
-0.0287724255674069,-0.210541846544311,-0.00183492036754144,-0.00126345533373703
-0.0373650553350901,-0.199098032564642,-0.00209458269276518,-0.00138094157236289
-0.0456232702234212,-0.188344193812,-0.00235374264809639,-0.00148525054361135
-0.0535277470777665,-0.178356038589787,-0.00261240725210032,-0.00157546276072483
-0.0610591410651579,-0.169194549154457,-0.00287070186494996,-0.00165416165786418
-0.0681977417284291,-0.160905476102479,-0.00312865874596136,-0.00172027328706716
-0.0749231587678532,-0.153519211571299,-0.00338638621668466,-0.00177552161019267
-0.0812140482555972,-0.147051013115292,-0.00364397537222481,-0.00182110778520824
-0.0870478868138112,-0.141501534118163,-0.00390151077436825,-0.00185798828398332
-0.0924008004313433,-0.136857607771176,-0.00415907277799039,-0.00188713058577388
-0.0972474567299339,-0.133093230531293,-0.00441673488351376,-0.00190950477538691
-0.101561034312286,-0.130170696429986,-0.00467456124904185,-0.00192607591993947
-0.105313288787843,-0.128041843281415,-0.00493260440177756,-0.001937797266105
-0.108474739671843,-0.126649382853555,-0.00519090318528462,-0.00194560426042188
-0.111015002963333,-0.125928296538981,-0.0054494809787198,-0.00195040936064021
-0.112903289090103,-0.125807283717212,-0.00570834422528662,-0.00195309757779742
-0.114109074900994,-0.126210250819131,-0.00596748130813225,-0.00195452266793893
-0.114602942977409,-0.127057825577665,-0.00622686181088707,-0.00195550387973399
-0.114357564352004,-0.128268874780517,-0.00648643619559251,-0.00195682315960545
-0.113348784766215,-0.129761997345474,-0.00674613592222455,-0.00195922271871514
-0.11155676263332,-0.131456959868088,-0.00700587402166779,-0.00196340287508859
-0.10896710103958,-0.133276040190851,-0.00726554611893145,-0.00197002009774826
-0.10557191752588,-0.135145246171238,-0.00752503188727008,-0.00197968519577635
-0.101370803536784,-0.136995381219361,-0.0077841968984988,-0.00199296161101421
-0.0963716378027515,-0.138762934662496,-0.00804289482177208,-0.00201036378609603
-0.0905912306389661,-0.140390782670015,-0.00830096991342903,-0.00203235558853369
-0.0840557854829838,-0.141828693226631,-0.00855825973435376,-0.00205934877744076
-0.0768011680643221,-0.143033635596603,-0.00881459802801159,-0.00209170150465721
-0.0688729731420438,-0.143969900685975,-0.00906981769084677,-0.00212971684946292
-0.0603263766588906,-0.144609044162086,-0.0093237537661714,-0.00217364139792778
-0.0512257609646499,-0.144929669830043,-0.0095762463927585,-0.00222366389472796
-0.0416441049236192,-0.144917076917498,-0.00982714364050569,-0.00227991401559834
-0.0316621397828213,-0.144562801073223,-0.0100763041686147,-0.00234246132977106
-0.0213672843467953,-0.14386408376943,-0.0103235996475411,-0.00241131454044453
-0.0108523868596176,-0.142823307056843,-0.0105689168948297,-0.00248642110432909
-0.000214313467628671,-0.14144742961613,-0.0108121596865371,-0.00256766733623127
0.0104475676526517,-0.13974745617324,-0.0110532502194054,-0.00265487910042164
0.0210329522515397,-0.137737966725701,-0.0112921302132113,-0.00274782317765142
0.0314421602883756,-0.135436725856309,-0.0115287616568024,-0.00284620937680552
0.0415776356097863,-0.132864386249996,-0.0117631272145384,-0.00294969343537069
0.0513453317314507,-0.130044293960901,-0.0119952303218081,-0.00305788072459669
0.0606559320930482,-0.127002395007949,-0.0122250950087615,-0.00317033074356043
0.0694258555676479,-0.123767232958311,-0.0124527655001152,-0.00328656235040304
0.0775780033949153,-0.120370015979832,-0.0126783056453339,-0.00340605963825669
0.0850422148115265,-0.116844721320956,-0.0129017982369114,-0.00352827831941125
0.0917554171497191,-0.113228197788105,-0.0131233442739876,-0.00365265243879492
0.0976614813768688,-0.109560224643605,-0.0133430622234706,-0.00377860120412757
0.102710822497125,-0.105883489287199,-0.0135610873210194,-0.00390553570299252
0.106859810472253,-0.102243455300867,-0.013777570940294,-0.00403286528227975
