Torque_L,Torque_R,Chair_LinVel,Chair_AngVel,AngVel_L,AngVel_R
0.038963575271365,-0.30108551810653,0,0,0,0
0.0286395240649073,-0.287896814105139,-0.000263937430065353,-0.000230330220979749,-0.00068784958273472,-0.00107173328436763
0.0184880131301955,-0.274572028758485,-0.000527303902135168,-0.000442934844543782,-0.00138856730333074,-0.00212679204423705
0.00853672299161237,-0.261247292320051,-0.000790108201394825,-0.000639696394846291,-0.00210061367561084,-0.00316677433368799
-0.00118843847285519,-0.248056449976068,-0.00105225166986769,-0.000819081033037448,-0.00282493803869441,-0.00419007309375682
-0.0106632540323843,-0.235128657158478,-0.00131378470826998,-0.000983089065780365,-0.00356004147274963,-0.00519852324905024
-0.019865041121769,-0.222586093013663,-0.00157464628776047,-0.00113050893208536,-0.00430673018246376,-0.00619091173593936
-0.0287724255674069,-0.210541846544311,-0.00183492036754144,-0.00126345533373703,-0.00506352178035727,-0.007169280669919
-0.0373650553350901,-0.199098032564642,-0.00209458269276518,-0.00138094157236289,-0.00583115766558154,-0.00813272695285302
-0.0456232702234212,-0.188344193812,-0.00235374264809639,-0.00148525054361135,-0.00660810004064519,-0.00908351761333077
-0.0535277470777665,-0.178356038589787,-0.00261240725210032,-0.00157546276072483,-0.00739513853973039,-0.0100209098076051
-0.0610591410651579,-0.169194549154457,-0.00287070186494996,-0.00165416165786418,-0.00819053816827973,-0.01094747426472
-0.0681977417284291,-0.160905476102479,-0.00312865874596136,-0.00172027328706716,-0.00899530141398189,-0.0118624235590938
-0.0749231587678532,-0.153519211571299,-0.00338638621668466,-0.00177552161019267,-0.0098083527137883,-0.0127675553974428
-0.0812140482555972,-0.147051013115292,-0.00364397537222481,-0.00182110778520824,-0.0106289947530758,-0.0136641743950896
-0.0870478868138112,-0.141501534118163,-0.00390151077436825,-0.00185798828398332,-0.0114567123445747,-0.0145533594845469
-0.0924008004313433,-0.136857607771176,-0.00415907277799039,-0.00188713058577388,-0.0122909671051564,-0.0154361847481129
-0.0972474567299339,-0.133093230531293,-0.00441673488351376,-0.00190950477538691,-0.0131311956322234,-0.0163137035912016
-0.101561034312286,-0.130170696429986,-0.00467456124904185,-0.00192607591993947,-0.0139768075635233,-0.0171869340967557
-0.105313288787843,-0.128041843281415,-0.00493260440177756,-0.001937797266105,-0.0148271836175044,-0.0180568457276794
-0.108474739671843,-0.126649382853555,-0.00519090318528462,-0.00194560426042188,-0.0156816737339305,-0.0189243475013003
-0.111015002963333,-0.125928296538981,-0.0054494809787198,-0.00195040936064021,-0.0165395954618658,-0.0197902777295995
-0.112903289090103,-0.125807283717212,-0.00570834422528662,-0.00195309757779742,-0.0174002327694575,-0.0206553953991199
-0.114109074900994,-0.126210250819131,-0.00596748130813225,-0.00195452266793893,-0.0182628354704917,-0.0215203732503899
-0.114602942977409,-0.127057825577665,-0.00622686181088707,-0.00195550387973399,-0.0191266194698452,-0.0223857926027352
-0.114357564352004,-0.128268874780517,-0.00648643619559251,-0.00195682315960545,-0.0199907680189705,-0.0232521399516463
-0.113348784766215,-0.129761997345474,-0.00674613592222455,-0.00195922271871514,-0.0208544341418192,-0.0241198053396778
-0.11155676263332,-0.131456959868088,-0.00700587402166779,-0.00196340287508859,-0.0217167443429855,-0.0249890824681331
-0.10896710103958,-0.133276040190851,-0.00726554611893145,-0.00197002009774826,-0.0225768036483146,-0.025860170477895
